"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Luka DonÄiÄ,,12.0,10.2,8.8,7.7,7.6,5.9,4.9
Bobby Wanzer,94.1,11.4,10.5,9.1,7.9,7.0,6.9,5.4
Tim Hardaway,92.9,12.9,9.9,9.2,7.5,7.3,5.1,3.3
Gus Williams,92.8,11.6,10.2,8.5,8.3,7.7,4.2,3.6
Allen Iverson,92.6,11.8,9.2,9.0,7.2,6.9,6.9,4.1
Eddie Jones,92.3,10.1,10.1,9.6,7.9,6.8,6.0,5.0
Ray Allen,91.9,13.7,10.1,9.1,8.9,7.0,5.2,4.9
Deron Williams,89.9,11.3,10.3,8.4,7.3,7.2,4.1,2.8
Isiah Thomas,89.7,11.2,9.1,8.8,7.6,7.6,7.4,2.3
Archie Clark,89.5,11.4,11.0,8.1,7.9,6.2,5.6,2.7
Hersey Hawkins,89.0,9.8,8.7,8.5,8.0,7.8,6.5,4.0
