Season,Team,Lg,Salary
2019-20,New York Knicks,NBA,"$7,839,960"
2020-21,New York Knicks,NBA,"$8,231,760"
2021-22,New York Knicks,NBA,"$8,623,920"
2022-23,New York Knicks,NBA,"$10,900,635"
2023-24,Toronto Raptors,NBA,"$23,883,929"
2024-25,Toronto Raptors,NBA,"$25,794,643"
Career,(may be incomplete),,"$85,274,847"
