"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Eric Bledsoe,,8.2,7.0,5.6,5.4,5.3,4.1,3.7,2.5,2.3,1.3,0.3,0.2
Norm Van Lier,91.1,7.7,7.7,6.0,5.6,5.5,5.2,3.8,3.2,2.1,1.1,,
Slater Martin,90.3,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,
Jay Humphries,89.9,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2.0,1.9,1.8,-0.4,
Jerry Stackhouse,89.5,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.1,1.9,1.2,0.2
Tyrone Corbin,89.4,6.8,6.7,5.6,5.4,5.4,5.0,4.4,3.0,2.5,2.1,1.2,0.1
Kendall Gill,89.2,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,0.7,-0.4
Darren Collison,89.1,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,-0.1,
Muggsy Bogues,89.0,8.6,6.7,6.4,5.9,5.0,4.8,4.8,2.6,2.3,1.7,1.7,0.0
Brad Davis,88.7,7.4,7.3,6.2,6.2,5.4,4.2,4.0,3.9,2.7,0.6,0.6,0.3
Brian Taylor,88.6,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,,
