"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Spencer Hawes,,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6
Randy Breuer,88.1,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1
Otto Moore,86.6,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,
Dennis Awtrey,85.4,5.2,5.0,3.1,2.1,1.8,1.4,1.0,1.0,0.7,0.6
Clemon Johnson,84.1,4.3,4.0,3.7,3.5,2.2,2.0,2.0,1.7,1.2,0.9
Mel Counts,83.3,5.0,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1.0,0.3
Bob Ferry,81.7,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0
John Henson,81.6,4.9,3.6,3.3,2.7,2.3,1.9,1.4,0.6,,
Len Elmore,81.5,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0
Marreese Speights,81.1,4.2,4.0,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6
Aron Baynes,81.0,4.1,3.9,3.0,3.0,2.4,2.1,1.0,0.6,0.1,
