"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Andrew Bynum,,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1
Emeka Okafor,90.3,8.2,7.1,6.5,5.8,5.5,4.0,1.7,1.0
DeMarcus Cousins,87.3,7.9,7.6,6.0,5.7,4.7,4.4,4.2,1.1
Sam Lacey,86.8,7.7,7.4,5.6,5.0,4.3,2.7,1.2,0.3
Deandre Ayton,86.0,8.4,7.3,6.2,5.8,3.9,3.1,2.8,
Enes Freedom,85.5,8.1,7.5,6.4,5.8,5.4,2.3,2.2,1.7
Chuck Share,85.0,8.6,8.1,6.7,4.7,4.2,4.0,3.3,1.3
Caldwell Jones,84.9,8.1,7.6,6.2,5.5,5.0,4.4,3.9,3.1
Al Jefferson,84.7,7.8,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Mitchell Robinson,84.4,8.5,6.8,6.5,6.1,3.4,2.5,1.3,
Mike Gminski,84.2,9.2,6.5,6.1,5.4,4.3,4.0,1.8,1.5
