"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Kris Humphries,,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.6,1.5,0.7,0.2,-0.3,,,
Danny Ferry,88.2,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1.0,1.0,0.3,,,
Phil Jackson,87.7,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,,,,
James Johnson,87.6,5.1,5.0,4.1,3.0,2.6,1.7,1.5,1.3,1.2,1.1,0.8,0.6,0.1,0.0,-0.1,-0.5
George Lynch,86.1,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0.0,,,,
Aaron Williams,86.0,5.2,5.0,4.8,3.7,3.4,1.7,1.6,1.1,1.1,0.7,0.4,0.3,-0.1,-0.1,,
Ray Scott,85.2,5.5,5.3,4.5,3.5,3.4,3.0,2.5,2.5,2.4,1.3,0.9,,,,,
Bobby Portis,85.1,5.5,5.3,4.8,4.7,3.5,2.7,2.4,1.9,1.6,1.5,,,,,,
Ben Poquette,84.6,5.4,5.0,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,,,,,,
Alan Henderson,84.1,6.0,4.3,3.1,3.1,2.6,2.0,1.9,1.6,1.3,1.3,0.7,0.2,,,,
Bingo Smith,83.8,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,,,,,
