"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Evan Fournier,,5.7,4.6,3.7,3.3,3.2,2.8,2.8,2.1,1.4,1.0,0.1,-0.1
Buddy Hield,90.2,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,
Marco Belinelli,89.6,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.5,0.5,0.0
John Long,89.1,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.2,0.2,0.2
Dell Curry,89.0,5.1,5.0,3.8,3.4,3.3,3.2,2.7,2.0,1.8,1.7,0.9,0.5
Bobby Jackson,89.0,5.5,5.4,3.5,3.1,3.1,3.0,2.5,2.2,1.4,1.2,1.2,-0.6
Ricky Sobers,88.9,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,
Norman Powell,88.7,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6,,
Foots Walker,88.3,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,
Eric Gordon,87.5,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,0.5
Eric Piatkowski,87.3,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1
