Season,Team,Lg,Salary
2012-13,Denver Nuggets,NBA,"$1,361,400"
2013-14,Denver Nuggets,NBA,"$1,422,720"
2014-15,Orlando Magic,NBA,"$1,483,920"
2015-16,Orlando Magic,NBA,"$2,288,205"
2016-17,Orlando Magic,NBA,"$17,000,000"
2017-18,Orlando Magic,NBA,"$17,000,000"
2018-19,Orlando Magic,NBA,"$17,000,000"
2019-20,Orlando Magic,NBA,"$17,000,000"
2020-21,Boston Celtics,NBA,"$17,450,000"
2021-22,New York Knicks,NBA,"$17,142,857"
2022-23,New York Knicks,NBA,"$18,000,000"
2023-24,Detroit Pistons,NBA,"$18,857,143"
Career,(may be incomplete),,"$146,006,245"
