Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2010-11,26,NOH,NBA,SF,2,0,2,1,1,1.0,1,1,1.0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,3,0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,2,1,1,1.0,1,1,1.0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,3,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,82,41,41,1.0,41,41,1.0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,123,0,
