Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2024-25,20,MIA,NBA,C,4,4,73,8,18,0.444,3,11,0.273,5,7,0.714,0.528,0,0,4,15,19,4,1,2,2,3,19,0,
1 Yr,1 Yr,1 Yr,1 Yr,,4,4,73,8,18,0.444,3,11,0.273,5,7,0.714,0.528,0,0,4,15,19,4,1,2,2,3,19,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,82,1497,164,369,0.444,62,226,0.273,103,144,0.714,0.528,0,0,82,308,390,82,21,41,41,62,390,0,
