Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,25.0,TOR,NBA,PF,1,1,17:33,7,10,0.7,0,2,0.0,1,2,0.5,0,6,0,1,0,1,4,15
2022-23,28.0,TOR,NBA,PF,1,0,15:04,6,8,0.75,0,1,0.0,0,0,,2,7,4,0,0,2,0,12
2024-25,30.0,IND,NBA,PF,1,1,7:10,2,2,1.0,0,0,,0,0,,0,1,2,2,0,1,0,4
2024-25,30.0,IND,NBA,PF,1,1,3:11,0,0,,0,0,,0,0,,1,1,0,0,0,0,0,0
Career,,,NBA,,4,3,43,15,20,0.75,0,3,0.0,1,2,0.5,3,15,6,3,0,4,4,31
