Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,20,BRK,NBA,C,5.0,5.0,22.0,3.8,6.4,0.594,0.0,0.0,3.8,6.4,0.594,0.594,3.4,4.0,0.85,3.0,3.8,6.8,2.2,0.6,0.6,1.6,2.6,11.0,
2019-20,21,BRK,NBA,C,4.0,4.0,33.0,3.5,6.0,0.583,0.0,0.0,3.5,6.0,0.583,0.583,3.3,4.0,0.813,4.3,10.5,14.8,2.3,0.5,1.8,2.8,1.8,10.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,24,CLE,NBA,C,5.0,5.0,38.2,4.4,7.2,0.611,0.0,0.0,4.4,7.2,0.611,0.611,0.6,1.2,0.5,3.0,4.4,7.4,2.4,0.8,1.0,0.6,2.0,9.4,
2023-24,25,CLE,NBA,C,4.0,4.0,31.8,6.3,9.3,0.676,0.0,0.0,6.3,9.3,0.676,0.676,4.5,6.5,0.692,3.8,10.0,13.8,1.3,1.3,1.0,1.3,2.0,17.0,
2024-25,26,CLE,NBA,C,9.0,9.0,29.0,4.9,6.8,0.721,0.0,0.0,4.9,6.8,0.721,0.721,3.7,3.9,0.943,2.3,6.1,8.4,1.3,1.4,0.9,1.9,1.7,13.4,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,27.0,27.0,30.4,4.6,7.0,0.653,0.0,0.0,4.6,7.0,0.653,0.653,3.1,3.8,0.816,3.1,6.6,9.7,1.8,1.0,1.0,1.6,2.0,12.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,18.0,18.0,32.2,5.1,7.4,0.679,0.0,0.0,5.1,7.4,0.679,0.679,3.0,3.7,0.806,2.8,6.5,9.3,1.6,1.2,0.9,1.4,1.8,13.1,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,9.0,9.0,26.9,3.7,6.2,0.589,0.0,0.0,3.7,6.2,0.589,0.589,3.3,4.0,0.833,3.6,6.8,10.3,2.2,0.6,1.1,2.1,2.2,10.7,
