"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Greg Monroe,,7.5,7.0,6.8,6.6,5.9,5.9,5.6,3.4,1.1,0.7,,,,
Red Rocha,91.4,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0,,,,,
Sam Lacey,86.7,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.6,0.3,-0.1,
Enes Freedom,86.4,8.1,7.5,7.5,6.4,5.8,5.4,4.4,2.3,2.2,1.7,1.4,,,
Emeka Okafor,86.0,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,1.0,,,,
Byron Beck,85.9,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,,,,
Mehmet Okur,85.6,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,,,,
Clifford Ray,85.1,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,,,
Mike Gminski,83.8,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,2.9,1.8,1.5,0.5,0.5,0.0
Jakob Poeltl,83.8,6.9,6.0,5.7,5.6,5.5,5.1,4.0,3.8,1.6,,,,,
Andrew Bogut,83.7,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4.0,2.6,1.7,0.7,0.5,0.4,0.3
