"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
John Henson,,4.9,3.6,3.3,2.7,2.3,1.9,1.4,0.6,,,,,
Oliver Miller,89.7,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,,,
Jim Davis,88.7,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,,,
Aron Baynes,88.5,4.1,3.9,3.0,3.0,2.4,2.1,1.0,0.6,0.1,,,,
Dewayne Dedmon,86.3,5.2,4.0,3.7,3.5,2.4,1.7,1.1,1.0,0.6,0.1,,,
Bob Ferry,86.0,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0,,,
Randy Breuer,85.2,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Chris Kaman,85.2,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0.0
Kevin Kunnert,85.0,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,,,
Eddy Curry,84.3,4.7,4.3,3.5,3.3,3.0,1.8,1.7,0.0,-0.1,-0.1,-0.3,,
Otto Moore,84.3,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,,
