"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
John Henson,,4.9,3.6,3.3,2.7,2.3,1.9,1.4,0.6
Alex Len,89.5,4.5,3.4,3.2,3.0,2.7,2.5,1.3,0.2
Otto Moore,89.5,5.0,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Bismack Biyombo,88.9,5.9,4.0,3.2,2.9,2.9,2.0,1.4,0.6
Joe Meriweather,88.9,4.8,3.8,3.8,2.6,2.6,2.3,2.2,0.8
Jim Davis,88.7,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2
Bob Ferry,88.6,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9
George Johnson,88.1,5.0,3.6,3.5,3.4,2.6,2.6,2.0,0.3
Mel Counts,87.7,5.0,4.3,4.2,2.9,2.7,1.9,1.5,1.0
Wayne Cooper,86.9,5.1,4.1,3.5,2.9,2.9,2.8,1.5,1.2
Oliver Miller,86.6,5.3,3.8,3.4,3.1,1.8,1.6,0.9,0.0
