"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Luke Kennard,,4.5,3.9,3.4,2.7,2.6,2.5,2.1,1.9,,
Ernie Grunfeld,90.5,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,
Bogdan BogdanoviÄ,90.1,3.9,3.9,3.7,3.1,2.9,2.8,2.7,1.9,,
Mike Glenn,89.7,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1
Pat Connaughton,89.0,4.4,3.9,3.5,3.4,2.8,2.5,2.5,1.2,0.6,-0.2
Darrell Griffith,88.7,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0.0
Lionel Hollins,88.5,5.2,4.0,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Caris LeVert,88.5,4.4,4.0,3.6,2.4,2.3,2.2,1.8,1.7,1.5,
Bill Hanzlik,87.2,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1.0,0.7
Scott Brooks,86.7,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7
Maurice Evans,86.5,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,
