"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Hasheem Thabeet,,2.2,2.0,0.3,0.3,0.0,
Henry Sims,88.8,2.1,2.1,0.4,0.0,,
Gene Conley,78.4,2.8,2.1,0.4,0.0,0.0,-0.1
Ed Kalafat,77.9,2.6,2.1,0.7,,,
George Nostrand,77.5,2.0,2.0,1.3,0.4,,
Bob Christian,77.4,2.4,1.9,0.9,0.5,0.0,
Justin Hamilton,75.0,2.1,1.5,0.1,,,
Howie Schultz,72.8,3.0,2.0,0.6,,,
James Wiseman,72.2,2.1,1.4,0.7,0.0,,
Predrag Drobnjak,69.4,2.4,1.6,1.0,0.7,,
Charlie Tyra,68.3,2.3,1.5,1.1,0.2,-0.2,
