Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2009-10,22,MEM,NBA,C,68.0,13.0,883.0,77.0,131.0,0.588,0.0,0.0,77.0,131.0,0.588,0.588,54.0,93.0,0.581,85.0,158.0,243.0,11.0,15.0,89.0,43.0,162.0,208.0,0.0,
2010-11,23,2TM,NBA,C,47.0,0.0,373.0,17.0,40.0,0.425,0.0,0.0,17.0,40.0,0.425,0.425,19.0,35.0,0.543,24.0,51.0,75.0,4.0,9.0,16.0,17.0,76.0,53.0,0.0,
2010-11,23,MEM,NBA,C,45.0,0.0,369.0,17.0,39.0,0.436,0.0,0.0,17.0,39.0,0.436,0.436,19.0,35.0,0.543,24.0,51.0,75.0,4.0,9.0,15.0,17.0,73.0,53.0,0.0,
2010-11,23,HOU,NBA,C,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,
2011-12,24,2TM,NBA,C,20.0,3.0,139.0,11.0,21.0,0.524,0.0,0.0,11.0,21.0,0.524,0.524,13.0,20.0,0.65,16.0,26.0,42.0,0.0,1.0,10.0,8.0,20.0,35.0,0.0,
2011-12,24,HOU,NBA,C,5.0,0.0,23.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,,1.0,6.0,7.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,
2011-12,24,POR,NBA,C,15.0,3.0,116.0,8.0,18.0,0.444,0.0,0.0,8.0,18.0,0.444,0.444,13.0,20.0,0.65,15.0,20.0,35.0,0.0,1.0,8.0,8.0,15.0,29.0,0.0,
2012-13,25,OKC,NBA,C,66.0,4.0,770.0,64.0,106.0,0.604,0.0,0.0,64.0,106.0,0.604,0.604,32.0,53.0,0.604,69.0,126.0,195.0,11.0,30.0,60.0,41.0,148.0,160.0,0.0,
2013-14,26,OKC,NBA,C,23.0,0.0,192.0,13.0,23.0,0.565,0.0,0.0,13.0,23.0,0.565,0.565,1.0,5.0,0.2,9.0,31.0,40.0,1.0,4.0,9.0,14.0,47.0,27.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,224.0,20.0,2357.0,182.0,321.0,0.567,0.0,0.0,182.0,321.0,0.567,0.567,119.0,206.0,0.578,203.0,392.0,595.0,27.0,59.0,184.0,123.0,453.0,483.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,7.0,863.0,67.0,118.0,0.567,0.0,0.0,67.0,118.0,0.567,0.567,44.0,75.0,0.578,74.0,144.0,218.0,10.0,22.0,67.0,45.0,166.0,177.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,113.0,13.0,1252.0,94.0,170.0,0.553,0.0,0.0,94.0,170.0,0.553,0.553,73.0,128.0,0.57,109.0,209.0,318.0,15.0,24.0,104.0,60.0,235.0,261.0,0.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,89.0,4.0,962.0,77.0,129.0,0.597,0.0,0.0,77.0,129.0,0.597,0.597,33.0,58.0,0.569,78.0,157.0,235.0,12.0,34.0,69.0,55.0,195.0,187.0,0.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,7.0,0.0,27.0,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,0.0,,1.0,6.0,7.0,0.0,0.0,3.0,0.0,8.0,6.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,15.0,3.0,116.0,8.0,18.0,0.444,0.0,0.0,8.0,18.0,0.444,0.444,13.0,20.0,0.65,15.0,20.0,35.0,0.0,1.0,8.0,8.0,15.0,29.0,0.0,
