"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2009-10,22,MEM,NBA,C,68.0,13.0,883.0,0.588,2.4,1.0,0.771,0.107,0.099,0.023,0.0,0.588,0.653,0.286,0.462,0.333,0.584,0.244,29.0,0.0,0.0,
2010-11,23,2TM,NBA,C,47.0,0.0,373.0,0.425,10.6,1.0,0.7,0.175,0.1,0.025,0.0,0.425,0.536,0.143,0.25,0.0,0.529,0.225,8.0,0.0,0.0,
2010-11,23,MEM,NBA,C,45.0,0.0,369.0,0.436,3.3,1.0,0.718,0.179,0.103,0.0,0.0,0.436,0.536,0.143,0.25,,0.529,0.231,8.0,0.0,0.0,
2010-11,23,HOU,NBA,C,2.0,0.0,4.0,0.0,17.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
2011-12,24,2TM,NBA,C,20.0,3.0,139.0,0.524,2.2,1.0,0.81,0.095,0.048,0.048,0.0,0.524,0.647,0.0,0.0,0.0,0.636,0.286,6.0,0.0,0.0,
2011-12,24,HOU,NBA,C,5.0,0.0,23.0,1.0,1.2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,0.667,0.667,2.0,0.0,0.0,
2011-12,24,POR,NBA,C,15.0,3.0,116.0,0.444,3.2,1.0,0.778,0.111,0.056,0.056,0.0,0.444,0.571,0.0,0.0,0.0,0.625,0.222,4.0,0.0,0.0,
2012-13,25,OKC,NBA,C,66.0,4.0,770.0,0.604,2.9,1.0,0.802,0.113,0.066,0.019,0.0,0.604,0.682,0.333,0.143,0.5,0.656,0.292,28.0,0.0,0.0,
2013-14,26,OKC,NBA,C,23.0,0.0,192.0,0.565,7.3,1.0,0.391,0.217,0.217,0.174,0.0,0.565,0.667,0.6,0.4,0.5,0.846,0.13,2.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,224.0,20.0,2357.0,0.567,5.4,1.0,0.748,0.125,0.093,0.034,0.0,0.567,0.65,0.3,0.333,0.364,0.626,0.252,73.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,7.0,863.0,0.567,5.4,1.0,0.748,0.125,0.093,0.034,0.0,0.567,0.65,0.3,0.333,0.364,0.626,0.252,27.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,113.0,13.0,1252.0,0.553,2.8,1.0,0.759,0.124,0.1,0.018,0.0,0.553,0.628,0.238,0.412,0.333,0.574,0.241,37.0,0.0,0.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,89.0,4.0,962.0,0.597,5.1,1.0,0.729,0.132,0.093,0.047,0.0,0.597,0.681,0.412,0.25,0.5,0.688,0.264,30.0,0.0,0.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,7.0,0.0,27.0,0.75,9.5,1.0,0.75,0.0,0.0,0.25,0.0,0.75,1.0,,,0.0,0.667,0.5,2.0,0.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,15.0,3.0,116.0,0.444,3.2,1.0,0.778,0.111,0.056,0.056,0.0,0.444,0.571,0.0,0.0,0.0,0.625,0.222,4.0,0.0,0.0,
