"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Max Christie,,2.7,0.7,0.6,,,,
Vit Krejci,94.5,2.6,0.6,0.6,0.1,,,
Harold Ellis,86.5,2.8,0.9,0.9,,,,
A.J. Green,83.0,2.8,1.1,0.8,,,,
Denzel Valentine,81.0,2.5,0.7,0.6,0.5,0.2,,
Terrance Ferguson,79.3,2.8,1.2,0.6,-0.2,,,
Shaedon Sharpe,77.9,3.0,1.2,0.5,,,,
Franklin Edwards,76.9,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3
Jaylen Nowell,74.8,2.8,1.2,0.7,0.2,0.1,-0.2,
Courtney Alexander,74.2,2.2,1.1,0.8,,,,
Alexey Shved,74.0,2.2,0.8,0.2,,,,
