"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Isaiah Stewart,,4.3,4.0,3.4,2.0,1.7,,
Obi Toppin,90.8,4.8,4.3,3.9,2.1,1.5,,
Bob Harris,88.2,5.0,4.3,3.4,1.9,1.0,,
Tom Abernethy,86.5,4.1,3.7,3.1,2.0,0.4,,
Drew Eubanks,86.0,4.4,3.4,3.1,2.3,1.7,0.8,0.3
Bill Calhoun,84.1,4.5,4.1,3.9,2.2,2.1,1.4,0.4
Lionel Simmons,83.5,4.3,3.8,3.8,2.7,1.1,0.9,0.3
Kenny Walker,83.0,4.7,4.0,3.1,2.7,1.9,1.3,0.1
George Irvine,82.9,5.5,3.7,3.2,2.5,1.2,0.0,
Scott May,82.8,5.4,4.2,3.1,2.4,2.2,0.1,-0.1
Aaron James,82.6,4.3,2.9,2.2,2.1,1.7,,
