"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Taurean Prince,,3.5,2.2,2.0,1.9,1.5,1.3,1.1,1.0,0.6
Jud Buechler,89.1,2.9,2.3,1.9,1.8,1.5,1.2,1.2,0.5,0.4
Joe Bryant,86.5,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0.0,
Earl Cureton,86.2,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7
Corie Blount,85.8,3.1,2.6,2.5,1.8,1.7,1.2,0.9,0.8,0.7
Brad Lohaus,85.5,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1
Mike Muscala,85.4,3.4,2.5,2.4,2.1,1.9,1.6,1.3,1.3,0.2
Jason Smith,84.3,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7
Matt Bullard,83.5,3.4,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2
Wally Walker,83.0,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,
Chucky Brown,82.6,4.2,2.2,2.2,2.1,1.6,1.6,1.4,0.3,0.0
