"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Taurean Prince,,3.5,2.2,2.0,1.9,1.5,1.3,1.1,1.0,0.6,,,,,
Joe Bryant,86.5,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0.0,,,,,,
Brian Skinner,85.5,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1,0.0,0.0,0.0
Earl Cureton,85.4,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7,0.0,0.0,-0.1,,
Brad Lohaus,85.0,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,,,
Jud Buechler,84.6,2.9,2.3,1.9,1.8,1.5,1.5,1.2,1.2,0.8,0.5,0.5,0.4,,
Tony Massenburg,84.4,2.8,2.2,1.8,1.7,1.5,1.3,1.1,1.0,0.9,0.7,0.4,0.2,-0.1,
Jason Smith,83.6,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,0.2,0.0,,,
Wally Walker,83.0,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,,,,,,
Bill Willoughby,82.0,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9,,,,,,
Ryan Bowen,81.9,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,,,,
