"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2002-03,21,ORL,NBA,C,7.0,0.0,40.0,0.3,2.5,1.0,0.6,0.4,0.0,0.0,0.0,0.3,0.333,0.25,,0.667,0.3,2.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05,23,PHO,NBA,C,15.0,0.0,213.0,0.558,2.6,1.0,0.744,0.14,0.116,0.0,0.0,0.558,0.656,0.333,0.2,0.667,0.302,12.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,DEN,NBA,C,2.0,0.0,5.0,0.0,7.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,24.0,0.0,258.0,0.5,4.4,1.0,0.704,0.204,0.093,0.0,0.0,0.5,0.605,0.273,0.2,0.667,0.296,14.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,882.0,0.5,4.4,1.0,0.704,0.204,0.093,0.0,0.0,0.5,0.605,0.273,0.2,0.667,0.296,48.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,15.0,0.0,213.0,0.558,2.6,1.0,0.744,0.14,0.116,0.0,0.0,0.558,0.656,0.333,0.2,0.667,0.302,12.0,0.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,7.0,0.0,40.0,0.3,2.5,1.0,0.6,0.4,0.0,0.0,0.0,0.3,0.333,0.25,,0.667,0.3,2.0,0.0,0.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,5.0,0.0,7.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,
