Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2002-03,21,ORL,NBA,C,7.0,0.0,40.0,4.1,13.6,0.3,0.0,0.0,4.1,13.6,0.3,0.3,0.0,4.1,0.0,1.4,2.7,4.1,1.4,0.0,4.1,1.4,13.6,8.2,60.0,110.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05,23,PHO,NBA,C,15.0,0.0,213.0,5.7,10.3,0.558,0.0,0.0,5.7,10.3,0.558,0.558,2.9,4.8,0.6,4.1,5.0,9.1,0.7,0.2,4.3,1.9,6.0,14.4,116.0,114.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,DEN,NBA,C,2.0,0.0,5.0,0.0,9.9,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,,0.0,19.7,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,24.0,0.0,258.0,5.4,10.8,0.5,0.0,0.0,5.4,10.8,0.5,0.5,2.4,4.6,0.522,3.6,5.0,8.6,0.8,0.2,4.2,1.8,7.0,13.2,106.0,114.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,15.0,0.0,213.0,5.7,10.3,0.558,0.0,0.0,5.7,10.3,0.558,0.558,2.9,4.8,0.6,4.1,5.0,9.1,0.7,0.2,4.3,1.9,6.0,14.4,116.0,114.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,7.0,0.0,40.0,4.1,13.6,0.3,0.0,0.0,4.1,13.6,0.3,0.3,0.0,4.1,0.0,1.4,2.7,4.1,1.4,0.0,4.1,1.4,13.6,8.2,60.0,110.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,5.0,0.0,9.9,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,,0.0,19.7,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,
