"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Steven Hunter,,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1
Mikki Moore,90.0,2.8,2.6,2.2,1.0,0.6,0.1,0.1,0.1
Jake Voskuhl,87.3,3.3,2.7,2.5,1.7,1.0,0.6,0.2,0.0
Zach Collins,85.0,2.9,2.7,2.2,1.8,1.2,0.6,0.3,
Jake Tsakalidis,83.7,2.8,2.8,1.3,1.2,0.9,0.6,0.3,
Jeff Wilkins,82.8,2.4,2.3,2.3,1.0,0.5,0.3,,
Ekpe Udoh,82.3,3.2,2.7,2.1,1.6,0.7,0.3,0.0,
Hub Reed,81.7,2.8,2.0,1.7,1.3,1.0,0.6,0.0,
Miles Plumlee,78.7,4.0,2.6,2.2,0.9,0.5,0.5,0.0,
Victor Alexander,77.9,3.0,2.5,2.3,1.1,-0.1,,,
Hank Finkel,77.2,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.0
