Season,Team,Lg,Salary
2003-04,Cleveland Cavaliers,NBA,"$4,018,920"
2004-05,Cleveland Cavaliers,NBA,"$4,320,360"
2005-06,Cleveland Cavaliers,NBA,"$4,621,800"
2006-07,Cleveland Cavaliers,NBA,"$5,828,090"
2007-08,Cleveland Cavaliers,NBA,"$13,041,250"
2008-09,Cleveland Cavaliers,NBA,"$14,410,581"
2009-10,Cleveland Cavaliers,NBA,"$15,779,912"
2010-11,Miami Heat,NBA,"$14,500,000"
2011-12,Miami Heat,NBA,"$16,022,500"
2012-13,Miami Heat,NBA,"$17,545,000"
2013-14,Miami Heat,NBA,"$19,067,500"
2014-15,Cleveland Cavaliers,NBA,"$20,644,400"
2015-16,Cleveland Cavaliers,NBA,"$22,971,000"
2016-17,Cleveland Cavaliers,NBA,"$30,963,450"
2017-18,Cleveland Cavaliers,NBA,"$33,285,709"
2018-19,Los Angeles Lakers,NBA,"$35,654,150"
2019-20,Los Angeles Lakers,NBA,"$37,436,858"
2020-21,Los Angeles Lakers,NBA,"$39,219,566"
2021-22,Los Angeles Lakers,NBA,"$41,180,544"
2022-23,Los Angeles Lakers,NBA,"$44,474,988"
2023-24,Los Angeles Lakers,NBA,"$47,607,350"
2024-25,Los Angeles Lakers,NBA,"$48,728,845"
Career,(may be incomplete),,"$531,322,773"
