0
Active 2559 (5th)
Career 2559 (7th)
Career NBA 2559 (7th)
Career Playoffs 480 (3rd)
Career NBA Playoffs 480 (3rd)
Career (Reg+Playoffs) 3039 (5th)
Career NBA (Reg+Playoffs) 3039 (5th)
