"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')","('Win Shares (Best to Worst)', '21')","('Win Shares (Best to Worst)', '22')"
LeBron James,,20.3,19.3,18.5,16.3,15.9,15.6,15.2,14.5,14.3,14.0,13.7,13.6,12.9,10.4,9.8,8.5,7.7,7.5,7.2,5.6,5.6,5.1
Karl Malone,91.0,16.7,16.4,15.9,15.5,15.4,15.3,15.2,15.1,15.1,13.8,13.4,13.1,11.1,10.1,9.8,9.6,6.9,4.3,1.9,,,
Dirk Nowitzki,82.8,17.7,16.3,16.1,15.6,14.6,13.4,12.9,12.3,11.5,11.1,10.9,10.9,8.1,7.6,7.2,6.8,5.0,4.8,2.5,0.8,0.3,
Tim Duncan,78.9,17.8,16.5,13.2,13.1,13.0,13.0,12.8,11.2,11.1,10.9,10.8,10.1,9.6,8.7,8.3,7.7,7.4,5.9,5.2,,,
Julius Erving,77.2,17.7,17.6,16.5,13.8,13.3,13.3,12.5,11.5,10.9,10.1,9.8,9.1,7.9,7.6,5.9,3.5,,,,,,
Kevin Garnett,76.3,18.3,16.1,15.6,14.9,12.9,12.8,11.8,11.6,10.7,9.6,9.0,7.3,7.3,7.1,6.9,5.6,5.4,4.4,1.9,1.2,1.1,
Kevin Durant,75.1,19.2,18.9,16.1,14.5,12.2,12.0,12.0,11.5,10.4,8.4,8.3,7.9,6.8,5.2,5.0,4.8,2.3,,,,,
Charles Barkley,75.0,17.3,16.7,16.1,14.4,13.4,12.3,12.0,10.8,10.6,10.5,9.4,8.8,8.6,7.5,6.8,1.9,,,,,,
Larry Bird,64.7,15.8,15.7,15.2,15.0,14.0,13.6,12.5,11.2,10.8,9.5,6.6,5.5,0.5,,,,,,,,,
Bob Pettit,59.0,14.9,14.9,14.8,14.3,13.8,11.6,11.5,11.5,11.0,10.7,7.1,,,,,,,,,,,
Dolph Schayes,58.8,14.8,13.7,13.1,12.8,12.5,12.0,11.8,10.3,9.5,9.4,8.5,8.5,3.1,2.4,-0.1,,,,,,,
