0
2003-04 NBA 7.1 (11th)
2004-05 NBA 8.6 (5th)
2005-06 NBA 9.5 (4th)
2006-07 NBA 8.6 (6th)
2007-08 NBA 9.1 (1st)
2008-09 NBA 8.1 (6th)
2009-10 NBA 8.4 (8th)
2010-11 NBA 8.4 (3rd)
2011-12 NBA 9.1 (1st)
2012-13 NBA 8.7 (1st)
2013-14 NBA 8.5 (4th)
2014-15 NBA 7.3 (10th)
2015-16 NBA 8.6 (2nd)
2016-17 NBA 8.3 (4th)
2017-18 NBA 8.6 (4th)
2018-19 NBA 8.1 (4th)
2019-20 NBA 7.4 (9th)
2020-21 NBA 7.1 (13th)
2021-22 NBA 8.6 (6th)
2022-23 NBA 8.9 (6th)
2023-24 NBA 7.5 (10th)
2024-25 NBA 7.2 (10th)
Active 8.3 (3rd)
Career 8.3 (32nd)
Career NBA 8.3 (29th)
Career Playoffs 8.5 (35th)
Career NBA Playoffs 8.5 (28th)
