0
Active 1150 (10th)
Career 1150 (74th)
Career NBA 1150 (71st)
Career Playoffs 284 (10th)
Career NBA Playoffs 284 (9th)
Career (Reg+Playoffs) 1434 (54th)
Career NBA (Reg+Playoffs) 1434 (53rd)
