0
2004-05 NBA 32.9 (13th)
2005-06 NBA 32.8 (10th)
2006-07 NBA 29.1 (19th)
2007-08 NBA 37.3 (7th)
2008-09 NBA 38.0 (9th)
2009-10 NBA 41.8 (5th)
2010-11 NBA 34.9 (18th)
2011-12 NBA 33.6 (17th)
2012-13 NBA 36.4 (10th)
2013-14 NBA 32.0 (13th)
2014-15 NBA 38.6 (6th)
2015-16 NBA 36.0 (11th)
2016-17 NBA 41.3 (5th)
2017-18 NBA 44.4 (4th)
2018-19 NBA 39.4 (5th)
2019-20 NBA 49.1 (1st)
2020-21 NBA 41.8 (5th)
2021-22 NBA 30.6 (19th)
2022-23 NBA 33.5 (13th)
2023-24 NBA 37.5 (6th)
2024-25 NBA 40.3 (5th)
Active 36.5 (9th)
Career 36.5 (27th)
Career NBA 36.5 (27th)
Career Playoffs 35.0 (17th)
Career NBA Playoffs 35.0 (17th)
