"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2013-14,29,MIA,NBA,EC1,CHA,W (4-0),4,39.3,30.0,8.0,6.0,2.3,0.3,39,70,.557,7,20,.350,32,50,.640,.607,35,44,.795,0,32,32,24,9,1,11,7,120,
2013-14,29,MIA,NBA,ECS,BRK,W (4-1),5,40.4,30.0,6.4,3.6,1.2,0.6,49,86,.570,8,21,.381,41,65,.631,.616,44,54,.815,3,29,32,18,6,3,11,12,150,
2013-14,29,MIA,NBA,ECF,IND,W (4-2),6,35.8,22.8,6.3,5.5,1.8,0.8,52,93,.559,6,18,.333,46,75,.613,.591,27,33,.818,4,34,38,33,11,5,20,17,137,
2013-14,29,MIA,NBA,FIN,SAS,L (1-4),5,37.8,28.2,7.8,4.0,2.0,0.4,52,91,.571,14,27,.519,38,64,.594,.648,23,29,.793,7,32,39,20,10,2,19,10,141,
2014-15,30,CLE,NBA,EC1,BOS,W (4-0),4,43.0,27.0,9.0,6.5,2.3,1.5,42,90,.467,4,20,.200,38,70,.543,.489,20,27,.741,2,34,36,26,9,6,19,8,108,
2014-15,30,CLE,NBA,ECS,CHI,W (4-2),6,40.8,26.2,11.0,8.8,1.7,1.7,61,153,.399,3,28,.107,58,125,.464,.408,32,40,.800,14,52,66,53,10,10,27,21,157,
2014-15,30,CLE,NBA,ECF,ATL,W (4-0),4,38.3,30.3,11.0,9.3,1.5,0.5,46,105,.438,5,20,.250,41,85,.482,.462,24,33,.727,10,34,44,37,6,2,15,10,121,
2014-15,30,CLE,NBA,FIN,GSW,L (2-4),6,45.7,35.8,13.3,8.8,1.3,0.5,78,196,.398,13,42,.310,65,154,.422,.431,46,67,.687,11,69,80,53,8,3,21,19,215,
2015-16,31,CLE,NBA,EC1,DET,W (4-0),4,41.3,22.8,9.0,6.8,1.8,0.8,38,78,.487,4,19,.211,34,59,.576,.513,11,15,.733,5,31,36,27,7,3,13,12,91,
2015-16,31,CLE,NBA,ECS,ATL,W (4-0),4,36.5,24.3,8.5,7.8,3.0,0.5,38,75,.507,8,19,.421,30,56,.536,.560,13,22,.591,7,27,34,31,12,2,17,11,97,
