0
2004-05 NBA 25.7 (6th)
2005-06 NBA 28.1 (2nd)
2006-07 NBA 24.5 (6th)
2007-08 NBA 29.1 (1st)
2008-09 NBA 31.7 (1st)
2009-10 NBA 31.1 (1st)
2010-11 NBA 27.3 (1st)
2011-12 NBA 30.7 (1st)
2012-13 NBA 31.6 (1st)
2013-14 NBA 29.3 (2nd)
2014-15 NBA 25.9 (6th)
2015-16 NBA 27.5 (4th)
2016-17 NBA 27.0 (6th)
2017-18 NBA 28.6 (3rd)
2018-19 NBA 25.6 (8th)
2019-20 NBA 25.5 (9th)
2020-21 NBA 24.2 (14th)
2021-22 NBA 26.2 (4th)
2022-23 NBA 23.9 (12th)
2023-24 NBA 23.7 (6th)
2024-25 NBA 22.7 (9th)
Active 26.9 (2nd)
Career 26.9 (3rd)
Career NBA 26.9 (3rd)
Career Playoffs 27.9 (4th)
Career NBA Playoffs 27.9 (4th)
