Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2009-10,25,CHI,NBA,PF,2,0,5,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,5,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,205,0,0,0,0,0,0,0,0,41,82,123,0,0,0,0,0,0,0,
