"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Devin Ebanks,,0.4,0.3,-0.1,
Juwan Morgan,63.9,0.3,0.3,0.1,
Norvel Pelle,62.5,0.3,0.2,0.0,
Riney Lochmann,60.0,0.4,0.3,-0.2,
Kelan Martin,57.8,0.4,0.2,0.0,
Gene James,54.7,0.5,0.3,0.1,
Justin Reed,54.0,0.4,0.3,-0.2,
Devontae Cacok,53.9,0.5,0.3,0.0,
Quincy Lewis,53.4,0.3,0.3,0.1,0.0
Scooter McCray,50.3,0.3,0.1,0.0,
Rayjon Tucker,49.7,0.4,0.2,0.2,
