"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Linas Kleiza,,4.7,3.6,2.8,1.5,1.2,0.1,-0.3
Rondae Hollis-Jefferson,87.7,4.1,3.4,2.6,1.2,1.2,0.3,
Lamond Murray,86.5,4.9,3.3,2.3,2.1,1.2,0.3,-0.3
Corey Brewer,86.0,5.2,3.9,2.3,1.1,1.0,0.3,-0.2
Grant Williams,84.6,5.1,4.4,2.6,1.6,1.1,0.7,
Jim Petersen,84.5,4.7,3.4,2.9,1.0,0.6,0.4,0.3
KJ Martin,84.4,4.9,2.9,2.2,1.3,1.1,,
Kwame Brown,84.3,4.9,3.6,2.5,1.9,0.8,0.6,0.6
Larry McNeill,83.7,4.4,4.3,2.3,1.5,0.7,0.1,
Bruce Bowen,83.5,5.1,4.2,2.2,1.9,1.2,0.0,0.0
George Irvine,82.7,5.5,3.7,3.2,2.5,1.2,0.0,
