"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Courtney Alexander,,2.2,1.1,0.8
Sterling Brown,95.7,2.1,1.1,0.7
Mike Davis,94.0,2.2,1.2,0.9
Ledell Eackles,91.5,2.1,1.2,1.0
Claude Terry,90.6,2.4,1.0,0.8
Kevin O'Shea,89.6,2.1,1.2,0.5
Thabo Sefolosha,89.2,2.2,1.5,0.8
Chink Crossin,88.9,2.1,1.2,0.5
Clint Richardson,88.9,2.4,1.1,1.0
John Salmons,88.8,2.1,1.4,0.6
Corky Devlin,87.7,1.8,1.2,0.8
