"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Anfernee Simons,,4.2,2.5,2.2,1.9,1.8,0.2,0.1
Frank Johnson,88.2,4.3,3.0,2.1,1.9,1.6,0.5,0.5
De'Anthony Melton,88.1,4.2,3.7,2.2,2.1,1.7,0.2,0.0
Trenton Hassell,87.8,4.0,2.7,2.6,2.3,1.5,0.2,-0.1
Bryn Forbes,87.3,3.8,2.7,2.1,1.5,1.4,0.1,0.0
Charlie Criss,86.7,3.7,2.8,2.5,2.2,2.1,0.3,0.1
Toney Douglas,85.8,4.2,2.5,2.4,2.2,0.9,0.2,-0.6
RJ Barrett,85.4,4.1,2.9,2.4,2.3,2.2,-0.5,
John Konchar,85.3,4.2,3.5,2.2,1.7,1.5,0.7,
Kent Bazemore,85.1,4.1,2.2,2.1,1.6,0.7,0.2,0.1
Charlie Bell,84.7,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2
