"('Thru 19 Years', 'Player')","('Thru 19 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')"
Kyle Lowry,,11.7,11.6,10.2,10.1,7.5,7.1,7.0,6.6,6.4,5.6,4.9,4.3,4.1,3.6,3.5,3.4,3.4,1.0,0.5
Vince Carter,91.0,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7.0,6.0,6.0,5.0,4.3,4.2,4.0,3.8,2.9,1.8,1.0
Terry Porter,90.0,13.0,11.7,10.6,9.8,9.2,8.8,6.8,5.6,5.4,5.4,5.2,5.0,3.7,3.5,2.7,2.3,1.7,,
Jason Terry,88.3,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4.0,3.8,3.6,2.1,1.9,1.5,0.7,0.2
Manu GinÃ³bili,86.7,11.1,11.0,10.6,9.9,9.7,9.1,8.8,5.7,5.0,4.5,4.2,4.2,3.8,3.7,3.0,2.2,,,
Allen Iverson,86.5,11.8,11.6,10.6,9.2,9.0,9.0,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,,,,,
Mike Conley,86.4,10.0,9.9,8.2,8.2,8.0,6.8,6.7,6.6,6.4,6.1,5.5,5.3,5.2,4.5,4.0,2.5,1.1,0.6,
Andre Miller,86.0,10.3,8.8,8.8,8.3,8.0,7.0,7.0,7.0,6.2,5.9,5.4,5.3,4.6,2.9,2.2,2.2,1.0,,
Lenny Wilkens,85.9,10.1,9.6,9.5,9.0,8.1,7.6,7.6,6.5,5.7,5.0,4.9,4.9,4.0,2.7,0.4,,,,
Hal Greer,85.8,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,,,,
Kyrie Irving,85.3,10.4,9.1,8.9,8.9,7.4,7.4,6.9,6.7,5.3,5.0,4.6,4.1,3.3,2.9,,,,,
