"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Dalen Terry,,1.1,0.8,0.5,,,,
Mike D'Antoni,84.3,1.0,0.8,0.3,0.0,,,
Frank Jackson,83.7,1.2,0.7,0.4,0.2,0.0,,
Salim Stoudamire,83.1,1.2,0.8,0.3,,,,
Shawn Respert,79.6,0.8,0.7,0.5,0.1,,,
Pearl Washington,77.1,0.7,0.7,0.5,,,,
Phil Rollins,77.0,1.1,0.7,0.1,,,,
Malachi Flynn,76.6,1.0,0.8,0.5,0.5,0.0,,
Chris Duarte,75.9,0.9,0.7,0.3,0.0,,,
Jimmer Fredette,75.7,1.1,0.8,0.3,0.2,0.0,-0.2,
Morlon Wiley,73.5,1.1,0.9,0.5,0.2,0.1,0.1,-0.2
