"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Isaiah Canaan,,1.4,1.4,0.6,0.5,0.2,0.1
Patrick McCaw,88.9,1.7,1.4,0.6,0.5,0.1,
Shaquille Harrison,86.7,1.5,1.4,0.8,0.3,0.2,0.0
Nik Stauskas,83.1,1.4,1.1,0.5,0.5,0.3,0.1
Troy Daniels,79.0,1.4,1.3,1.1,0.3,0.2,0.2
Jimmy O'Brien,79.0,1.4,1.4,1.0,0.2,,
Keyon Dooling,78.4,1.5,1.4,1.1,0.3,0.3,0.0
Sidney Lowe,78.4,1.7,1.5,0.5,0.3,,
Lonnie Walker IV,76.7,1.8,1.2,0.8,0.4,0.3,0.0
Saben Lee,75.9,1.5,0.9,0.7,0.4,,
Edmond Sumner,75.1,1.4,1.3,0.4,0.1,0.0,
