"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Aleksej Pokusevski,,1.0,0.4,0.4,-1.9
Dont̩ Greene,-81.8,1.5,0.7,0.5,-1.1
Tremaine Fowlkes,-85.1,1.2,0.5,0.4,0.0
Maceo Baston,-86.4,1.1,0.5,0.4,0.3
James Michael McAdoo,-87.1,1.1,0.8,0.5,0.0
Pat McFarland,-87.1,1.3,0.7,0.4,
Nathan Knight,-87.3,1.0,0.7,0.4,
Bo Ellis,-87.5,1.1,0.9,0.5,
Calvin Garrett,-88.1,1.4,0.6,0.6,0.0
Kessler Edwards,-88.3,1.2,0.6,0.5,0.4
Tommie Bowens,-88.7,1.2,1.1,0.5,
