"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Aleksej Pokusevski,,1.0,0.4,0.4,-1.9
Dont̩ Greene,-81.8,1.5,0.7,0.5,-1.1
Cam Reddish,-84.5,1.0,0.9,0.4,-0.4
Tremaine Fowlkes,-85.1,1.2,0.5,0.4,0.0
Jim Ard,-85.2,1.0,1.0,0.6,-0.4
Maceo Baston,-86.4,1.1,0.5,0.4,0.3
Marcus Fizer,-86.6,1.4,1.1,0.5,-0.7
Jeff Turner,-87.0,1.2,0.8,0.6,-0.2
Joe Ellis,-87.1,1.3,1.0,0.4,-0.3
James Michael McAdoo,-87.1,1.1,0.8,0.5,0.0
Pat McFarland,-87.1,1.3,0.7,0.4,
