Season,Team,Lg,Salary
2011-12,Washington Wizards,NBA,"$1,485,000"
2012-13,Washington Wizards,NBA,"$1,596,360"
2013-14,Washington Wizards,NBA,"$1,618,680"
Career,(may be incomplete),,"$4,700,040"
