"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Nate Wolters,,1.2,-0.1,-0.2,,
Charles Smith,86.0,1.1,0.0,-0.2,,
Mychal Mulder,78.2,1.2,0.1,-0.2,,
Ray Corley,67.6,1.2,0.0,-0.4,,
Orlando Johnson,62.3,1.5,0.1,-0.2,,
Kyle Weaver,57.1,1.2,0.3,0.0,,
Kadeem Allen,52.4,1.0,0.1,-0.1,,
Willie Jones,51.8,1.3,0.0,-0.1,-0.1,-0.2
Sindarius Thornwell,50.6,1.0,0.1,0.0,0.0,
Jaden Ivey,49.3,1.2,0.5,0.0,,
Wayne Chapman,45.9,1.0,0.1,0.0,-0.1,
