"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Quinndary Weatherspoon,,0.2,0.1,-0.1
Dave Jamerson,73.0,0.2,0.1,-0.1
Michael Hawkins,64.8,0.2,0.0,0.0
Darius Morris,60.6,0.2,0.0,-0.2
A.J. Guyton,60.0,0.3,0.1,-0.1
Dwight Buycks,54.4,0.2,0.1,0.0
Carsen Edwards,49.2,0.3,0.1,-0.1
Rusty LaRue,48.4,0.3,0.1,-0.1
Gerald Madkins,41.0,0.3,0.1,0.0
Randy Livingston,40.6,0.3,0.1,0.0
Charles Bradley,35.3,0.2,0.2,-0.1
