Season,Team,Lg,Salary
2002-03,Washington Wizards,NBA,"$1,594,920"
2003-04,Washington Wizards,NBA,"$1,714,440"
2004-05,Washington Wizards,NBA,"$1,834,080"
2005-06,Washington Wizards,NBA,"$2,433,824"
2006-07,New York Knicks,NBA,"$5,215,000"
2007-08,New York Knicks,NBA,"$5,632,200"
2008-09,New York Knicks,NBA,"$6,049,400"
2009-10,Houston Rockets,NBA,"$6,466,600"
2010-11,Houston Rockets,NBA,"$6,883,800"
2011-12,New York Knicks,NBA,"$1,229,255"
2012-13,Portland Trail Blazers,NBA,"$1,475,106"
Career,(may be incomplete),,"$40,528,625"
