"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Cade Cunningham,,5.9,1.8,-0.1,-0.5
Rickey Green,87.0,5.7,1.8,0.3,-0.1
Smush Parker,85.7,5.8,2.3,0.1,-0.1
Frank Selvy,81.5,5.9,2.4,0.6,-0.6
Spencer Dinwiddie,75.9,5.7,2.8,0.1,0.1
Matt Maloney,75.7,5.3,2.2,0.7,-0.3
Jason Hart,71.2,4.8,1.9,0.3,0.0
Terry Dehere,70.3,5.0,1.2,0.5,-0.4
Moochie Norris,70.0,4.4,1.7,-0.1,-0.2
Walt Kirk,69.6,5.0,2.3,0.4,
Jack McMahon,69.5,4.7,1.3,-0.2,-0.2
