Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21.0,OKC,NBA,SF,1.0,0.0,20:17,7.0,14.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,5.0,0.0,0.0,0.0,2.0,0.0,15.0
2010-11,22.0,OKC,NBA,SF,1.0,1.0,30:00,11.0,23.0,0.478,4.0,11.0,0.364,8.0,8.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,34.0
2011-12,23.0,OKC,NBA,SF,1.0,1.0,37:23,14.0,25.0,0.56,3.0,8.0,0.375,5.0,7.0,0.714,3.0,7.0,3.0,3.0,0.0,2.0,0.0,36.0
2012-13,24.0,OKC,NBA,SF,1.0,1.0,31:22,13.0,24.0,0.542,3.0,8.0,0.375,1.0,1.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,3.0,30.0
2013-14,25.0,OKC,NBA,SF,1.0,1.0,34:43,14.0,27.0,0.519,6.0,17.0,0.353,4.0,4.0,1.0,3.0,10.0,6.0,1.0,0.0,1.0,0.0,38.0
2014-15,26.0,OKC,NBA,SF,1.0,0.0,9:55,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,,0.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0
2015-16,27.0,OKC,NBA,SF,1.0,1.0,22:55,11.0,18.0,0.611,1.0,8.0,0.125,0.0,0.0,,2.0,5.0,7.0,2.0,0.0,0.0,0.0,23.0
2016-17,28.0,GSW,NBA,PF,1.0,1.0,27:09,9.0,16.0,0.563,2.0,8.0,0.25,1.0,2.0,0.5,4.0,10.0,10.0,2.0,0.0,0.0,1.0,21.0
2017-18,29.0,GSW,NBA,SF,1.0,1.0,29:57,7.0,13.0,0.538,3.0,8.0,0.375,2.0,2.0,1.0,1.0,6.0,5.0,3.0,1.0,2.0,3.0,19.0
2018-19,30.0,GSW,NBA,SF,1.0,1.0,25:26,10.0,15.0,0.667,6.0,9.0,0.667,5.0,5.0,1.0,0.0,7.0,2.0,1.0,2.0,2.0,1.0,31.0
2020-21,32.0,BRK,NBA,PF,,,,,,,,,,,,,,,,,,,,
2021-22,33.0,BRK,NBA,PF,,,,,,,,,,,,,,,,,,,,
2022-23,34.0,PHO,NBA,PF,,,,,,,,,,,,,,,,,,,,
2023-24,35.0,PHO,NBA,PF,1.0,1.0,24:51,7.0,12.0,0.583,4.0,8.0,0.5,0.0,0.0,,2.0,5.0,5.0,2.0,0.0,3.0,0.0,18.0
2024-25,36.0,PHO,NBA,PF,1.0,1.0,10:54,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0
2024-25,36.0,PHO,NBA,PF,1.0,1.0,6:02,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Career,,,NBA,,13.0,11.0,311,106.0,202.0,,34.0,97.0,,26.0,29.0,,16.0,72.0,45.0,20.0,5.0,14.0,12.0,272.0
