Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2024-25,20,HOU,NBA,PG,3,0,10,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,1,1,2,1,1,1,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,10,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,1,1,2,1,1,1,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,273,0,55,0.0,0,55,0.0,0,0,0.0,0,0,0,27,27,27,55,27,27,27,0,0,
