Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2024-25,24,NYK,NBA,SF,9,0,22,6.5,14.7,0.444,0.0,1.6,0.0,6.5,13.1,0.5,0.444,0.0,0.0,1.6,3.3,4.9,3.3,1.6,0.0,3.3,4.9,13.1,
1 Yr,1 Yr,1 Yr,1 Yr,,9,0,22,6.5,14.7,0.444,0.0,1.6,0.0,6.5,13.1,0.5,0.444,0.0,0.0,1.6,3.3,4.9,3.3,1.6,0.0,3.3,4.9,13.1,
