"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Jalen Williams,,7.8,7.3,5.6,,,,,,,
Austin Reaves,79.8,7.6,5.9,5.4,2.9,,,,,,
Tyrese Maxey,76.1,8.1,7.3,5.4,3.8,1.9,,,,,
Darius Garland,74.9,8.1,7.6,6.3,2.7,1.2,-1.3,,,,
Al Cervi,72.9,9.3,5.3,5.3,2.1,,,,,,
Anthony Edwards,72.6,8.4,7.5,4.3,3.8,0.8,,,,,
DraÅ¾en PetroviÄ,71.5,8.4,7.7,2.8,2.5,,,,,,
Desmond Bane,70.4,7.2,6.5,5.8,3.1,2.9,,,,,
Buddy Jeannette,69.1,8.2,4.9,2.6,,,,,,,
John Logan,68.8,9.2,8.3,5.2,4.3,1.0,,,,,
Micheal Williams,68.3,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2
