"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Noah Vonleh,,3.2,1.8,1.6,1.2,1.0,0.5,0.2,-0.1
Marty Conlon,90.8,3.1,1.8,1.4,1.0,0.8,0.6,0.3,-0.1
Cristiano FelÃ­cio,89.3,3.4,1.7,1.4,1.2,1.0,0.3,,
Damien Wilkins,84.5,2.8,1.9,1.7,1.5,1.0,1.0,0.4,0.0
Juancho HernangÃ³mez,83.5,3.0,1.8,1.1,0.9,0.9,0.7,0.4,
Jarvis Hayes,82.9,2.9,2.1,1.7,1.5,0.8,0.7,0.5,
Tony Massenburg,81.4,2.8,2.2,1.8,1.7,1.3,0.4,0.2,-0.1
Jeremy Evans,81.1,2.8,1.6,1.3,0.9,0.9,0.6,0.0,
Jared Jeffries,81.0,3.1,2.6,2.2,1.2,1.2,0.6,0.3,0.1
Gus Gerard,80.8,4.3,1.9,1.5,1.3,1.3,0.5,0.3,
Jason Kapono,80.7,4.2,1.9,1.3,1.2,0.8,0.5,0.5,-0.2
