"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Luka Å amaniÄ,,0.2,0.1,0.0,-0.2
Malcolm Thomas,-24.0,0.2,0.1,0.0,-0.2
Etdrick Bohannon,-36.7,0.1,0.1,0.0,-0.1
Jackie Robinson,-51.0,0.2,0.1,0.0,
Easy Parham,-55.9,0.3,0.1,0.0,
Alando Tucker,-56.9,0.2,0.1,0.0,
Braxton Key,-60.0,0.2,0.2,0.0,-0.1
Mfiondu Kabengele,-60.4,0.2,0.2,0.1,
Jordan Mickey,-65.3,0.3,0.1,0.1,
Louis King,-66.4,0.3,0.1,0.0,0.0
Norvel Pelle,-68.0,0.3,0.2,0.0,
