"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Julius Randle,,8.1,7.8,6.6,6.2,6.1,3.8,3.5,3.1,2.7,1.6,-0.1
Dwight Powell,91.8,8.2,7.5,6.6,5.1,4.6,3.8,3.6,3.1,3.1,1.7,0.6
Truck Robinson,90.7,7.6,7.3,6.9,6.5,6.0,5.1,4.3,3.3,3.2,2.7,-0.1
Metta World Peace,90.2,8.0,7.2,6.7,5.5,5.3,4.7,3.7,2.7,2.3,1.9,1.3
Mike Mitchell,89.8,8.3,7.6,6.0,6.0,5.9,5.5,4.4,3.6,2.4,0.4,
Bo Outlaw,89.8,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8
Greg Ballard,89.2,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0
Troy Murphy,89.1,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3
Tristan Thompson,88.9,8.7,7.3,6.8,5.7,5.2,3.1,2.9,2.6,2.5,1.6,1.1
Dave Greenwood,88.8,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2.0,1.1,0.4
Antonio McDyess,88.8,9.4,7.8,6.2,6.0,5.7,4.6,4.2,3.6,1.8,1.2,0.8
