Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,22,GSW,NBA,PF,69,14,1031,8.7,16.7,.524,0.0,0.0,,8.7,16.7,.524,.524,6.8,8.4,.810,4.7,6.7,11.4,1.4,0.7,1.5,3.9,8.2,24.3,111,107,
2006-07,23,2TM,NBA,PF,59,2,760,8.5,17.8,.477,0.0,0.0,,8.5,17.8,.477,.477,7.5,9.4,.800,5.0,8.6,13.6,1.7,0.5,1.7,4.5,8.2,24.5,105,106,
2006-07,23,GSW,NBA,PF,17,0,222,9.6,18.1,.530,0.0,0.0,,9.6,18.1,.530,.530,7.6,9.6,.795,4.6,9.2,13.7,1.1,0.7,2.4,3.9,7.6,26.8,111,106,
2006-07,23,IND,NBA,PF,42,2,538,8.0,17.7,.454,0.0,0.0,,8.0,17.7,.454,.454,7.4,9.3,.802,5.2,8.3,13.5,1.9,0.5,1.4,4.7,8.4,23.5,102,106,
2007-08,24,IND,NBA,PF,30,1,305,10.3,21.6,.478,0.0,0.0,,10.3,21.6,.478,.478,6.4,7.6,.851,6.1,7.6,13.7,1.6,1.1,0.5,3.2,6.9,27.1,109,108,
2008-09,25,2TM,NBA,PF,29,1,215,9.5,18.0,.527,0.2,0.5,.500,9.3,17.5,.528,.534,9.7,12.9,.755,6.3,7.3,13.6,0.7,0.7,0.7,2.9,5.6,29.0,121,114,
2008-09,25,POR,NBA,PF,19,0,73,4.6,14.4,.316,0.0,0.0,,4.6,14.4,.316,.316,11.4,15.2,.750,9.1,3.8,12.9,0.0,0.8,1.5,4.6,6.8,20.5,103,111,
2008-09,25,SAC,NBA,PF,10,1,142,11.8,19.7,.600,0.4,0.7,.500,11.5,19.0,.604,.609,9.0,11.8,.758,5.0,9.0,14.0,1.1,0.7,0.4,2.2,5.0,33.0,130,115,
2009-10,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2010-11,27,LAC,NBA,PF,36,0,470,9.1,16.3,.561,0.0,0.0,,9.1,16.3,.561,.561,4.5,6.8,.661,4.5,8.1,12.6,0.2,0.3,0.3,2.4,7.9,22.8,113,111,
2011-12,28,SAS,NBA,PF,2,0,14,0.0,7.4,.000,0.0,0.0,,0.0,7.4,.000,.000,7.4,7.4,1.000,0.0,3.7,3.7,0.0,0.0,0.0,3.7,3.7,7.4,58,110,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,225,18,2795,8.9,17.5,.509,0.0,0.0,.500,8.9,17.5,.509,.510,6.8,8.6,.786,5.0,7.6,12.6,1.3,0.7,1.2,3.7,7.8,24.7,110,108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),,86,14,1253,8.9,16.9,.525,0.0,0.0,,8.9,16.9,.525,.525,6.9,8.6,.807,4.7,7.1,11.9,1.4,0.7,1.7,3.9,8.1,24.7,111,107,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,72,3,843,8.9,19.1,.464,0.0,0.0,,8.9,19.1,.464,.464,7.1,8.6,.818,5.6,8.0,13.6,1.8,0.7,1.1,4.2,7.8,24.8,104,107,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,36,0,470,9.1,16.3,.561,0.0,0.0,,9.1,16.3,.561,.561,4.5,6.8,.661,4.5,8.1,12.6,0.2,0.3,0.3,2.4,7.9,22.8,113,111,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,19,0,73,4.6,14.4,.316,0.0,0.0,,4.6,14.4,.316,.316,11.4,15.2,.750,9.1,3.8,12.9,0.0,0.8,1.5,4.6,6.8,20.5,103,111,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,10,1,142,11.8,19.7,.600,0.4,0.7,.500,11.5,19.0,.604,.609,9.0,11.8,.758,5.0,9.0,14.0,1.1,0.7,0.4,2.2,5.0,33.0,130,115,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,2,0,14,0.0,7.4,.000,0.0,0.0,,0.0,7.4,.000,.000,7.4,7.4,1.000,0.0,3.7,3.7,0.0,0.0,0.0,3.7,3.7,7.4,58,110,
