"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Kris Dunn,,4.0,2.3,2.0,1.9,0.9,0.6,0.2,0.1,-0.2
Kent Bazemore,86.7,4.1,2.2,2.1,1.8,1.6,0.7,0.6,0.2,0.1
Quintin Dailey,85.2,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3
Kevin Ollie,85.0,3.8,2.4,2.4,1.4,1.1,0.9,0.1,0.0,-0.1
Toney Douglas,84.7,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,
Matthew Dellavedova,83.9,3.8,2.1,1.9,1.2,0.5,0.5,0.2,0.1,0.0
Gary Neal,82.6,3.5,2.5,1.9,1.4,1.0,0.6,-0.1,,
Anfernee Simons,82.4,4.2,2.5,2.2,1.9,1.8,0.2,0.1,,
Jordan Farmar,82.3,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4
Cameron Payne,82.2,3.6,2.4,1.9,1.4,1.1,0.8,0.5,0.5,-0.3
Trenton Hassell,82.0,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
