"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2008-09,18.0,BUTLER,32,1045,125,261,69,154,101,124,46,207,63,48,30,53,64,420,0.479,0.448,0.815,32.7,13.1,6.5,2.0
2009-10,19.0,BUTLER,37,1239,173,373,47,160,179,216,72,305,62,40,30,85,78,572,0.464,0.294,0.829,33.5,15.5,8.2,1.7
Career,,,69,2284,298,634,116,314,280,340,118,512,125,88,60,138,142,992,0.47,0.369,0.824,33.1,14.4,7.4,1.8
