Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,26.0,UTA,NBA,SF,1,0,17:17,4,7,0.571,0,3,0.0,0,0,,1,1,2,4,0,0,0,8
Career,,,NBA,,1,0,17,4,7,0.571,0,3,0.0,0,0,,1,1,2,4,0,0,0,8
