Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2024-25,19,TOR,NBA,PF,7,0,32,3.0,7.5,0.4,0.0,0.0,3.0,7.5,0.4,0.4,1.5,3.0,0.5,6.0,6.0,12.0,3.0,0.0,1.5,3.0,7.5,7.5,96,118,
1 Yr,1 Yr,1 Yr,1 Yr,,7,0,32,3.0,7.5,0.4,0.0,0.0,3.0,7.5,0.4,0.4,1.5,3.0,0.5,6.0,6.0,12.0,3.0,0.0,1.5,3.0,7.5,7.5,96,118,
