"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Tyreke Evans,,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3
Matt Guokas,93.7,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3
Ricky Davis,92.8,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2
Bob Weiss,92.5,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.1,0.1,0.0
Ramon Sessions,90.3,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.9,0.7
Don Ohl,90.1,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8
Walt Hazzard,89.8,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2
Eric Gordon,89.8,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Ricky Sobers,89.8,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1.0,0.1
Chucky Atkins,88.8,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,-0.2
Allen Leavell,88.8,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1
