"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dajuan Wagner,,0.3,0.0,-0.1,-0.2
Michael Phelps,-50.2,0.3,0.1,-0.1,
Andre Barrett,-52.1,0.4,0.0,0.0,-0.1
Brad Holland,-53.6,0.3,0.1,-0.1,
Elijah Millsap,-54.7,0.4,0.1,-0.1,
Cliff Anderson,-54.8,0.4,0.1,0.0,-0.2
David Duke Jr.,-58.9,0.3,0.1,0.0,-0.1
Malcolm Lee,-59.8,0.4,0.1,0.0,
Russ Lee,-60.7,0.3,0.2,0.0,
Khyri Thomas,-63.8,0.5,0.0,0.0,
Bob Duffy,-64.4,0.3,0.1,0.1,
