"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Shane Larkin,,1.7,1.4,1.4,-0.1
Will Bynum,91.2,1.9,1.5,1.3,-0.1
Jevon Carter,88.1,1.8,1.6,1.2,0.0
Fred Carter,86.8,1.8,1.3,1.3,-0.3
Juan Dixon,85.9,2.0,1.4,1.2,0.1
Gary Brokaw,82.8,1.9,1.6,1.6,0.1
Steve Kramer,81.5,1.9,1.2,1.1,
Donnie Butcher,80.1,1.9,1.2,1.1,-0.3
Sergio RodrÃ­guez,79.7,1.7,1.2,0.9,-0.2
Kirk Snyder,78.4,2.2,1.4,1.1,-0.2
Dirk Minniefield,78.2,1.9,1.1,1.1,
